dateOfTrade,tradeID,product,buyingParty,sellingParty,notionalAmount,notionalCurrency,quantity,maturityDate,underlyingPrice,underlyingCurrency,strikePrice
01/04/2019 00:21,XUFVODBY27047592,Full Faces,WYFO79,QLCE44,5695950.0,USD,3000,14/06/2024,1898.65,USD,400.54
01/04/2019 00:21,YODFNRNY15259589,Rings of Aggravate Monster,ZSXF16,TVQQ34,365400.0,USD,700,06/02/2023,522.0,USD,121.44
01/04/2019 00:22,HTPXTTER76130883,Stocks,TBVE49,WWNS72,2132719.9999999995,JPY,800,18/01/2024,2665.8999999999996,USD,21.47
01/04/2019 00:23,GJCOTCQA78196243,Stocks,NQJL85,DILF10,4819800.0,USD,3000,25/06/2024,1606.6,USD,297.88
01/04/2019 00:24,AJLQTHVR72853430,Stbcks,DOGG06,ZXVX98,434799.99999999994,QAR,2000,05/11/2022,217.39999999999998,USD,90.93
01/04/2019 00:24,YYMEHQMN02703313,Scooby Snacks,RQGG65,YCZA99,1170000.0,MVR,4000,18/02/2020,292.5,USD,310.03
01/04/2019 00:24,LEGQPGDJ19971783,Stocks,VESX22,QBAP68,46500.0,USD,400,12/09/2023,116.25,USD,23.97
01/04/2019 00:25,MOTWITIQ81924151,Blue Shells,NCYN59,QBAP68,1975228.98,BRL,700,25/02/2022,257.85,USD,3023.43
01/04/2019 00:25,EWPAYUPH50705542,Reblectors,LAUA80,VIMV28,3385500.0,OMR,3000,25/10/2021,1128.5,USD,1029.31
01/04/2019 00:26,ITQDVXLI89423395,Assault Vests,QWOA64,LIIS96,3468990.0,USD,700,14/04/2022,4955.7,SRD,372.54
01/04/2019 00:26,PKCWIPPI93764020,Romulan Ale,GYWU23,SMYT95,32802000.000000004,KMF,60000,28/08/2022,546.7,USD,422.63
01/04/2019 00:27,FDBHUEIY57789278,Tortures,NCCX02,DVVB21,5715.0,USD,100,10/12/2021,57.15,USD,61.44
01/04/2019 00:27,ZKIKRYDL71290867,Stocks,RJUD57,RDBE21,47070.0,USD,600,25/04/2021,78.45,USD,14.8
01/04/2019 00:28,QDFMETMO50700840,Stbcks,UFAY57,AMBT44,1092500.0,USD,50000,22/02/2024,21.85,USD,23.54
01/04/2019 00:28,VUBFLQRH37345118,Sorceror Stones,MSHS03,QBVN66,16219.999999999998,USD,400,02/03/2023,40.55,USD,7.66
01/04/2019 00:28,PILPHRZO85534629,Stbcks,PNFK78,SMYT65,8141.0,USD,100,09/11/2023,81.41,USD,92.8
01/04/2019 00:29,PWFFNEXV65877051,Stocks,MYXF04,PKBF70,3569100.0,USD,6000,14/03/2020,594.85,USD,130.23
01/04/2019 00:29,AUNTQYGY52221320,Stocks,XHYN03,IZTD25,10815.0,YER,100,13/05/2021,108.14999999999999,USD,175.42
01/04/2019 00:30,UPAYQLJT95592691,Stocks,CBOX57,CQPJ97,4899600.0,USD,90000,24/02/2020,54.44,USD,59.76
01/04/2019 00:30,QBURSHRO17425341,Thousand Sunnys,YWMD69,WVHK70,69132.0,USD,400,01/03/2024,172.83,USD,190.81
01/04/2019 00:30,VXQLVCWX75967734,Stbrs,EMNK65,TRFG21,416295.0,USD,900,29/08/2020,462.55,USD,547.05
01/04/2019 00:31,RYIPMPTY74249988,Stocks,TFLS36,SUOX12,12049501.6,KPW,80000,17/12/2022,92.9,USD,128.19
01/04/2019 00:31,PQHPVLGV50786956,Electric Seeds,MSHS03,EIWJ22,18563.49,BGN,600,18/08/2024,335.93,USD,31.78
01/04/2019 00:32,SJXRGTBO41178444,Nabomachines,HFLM11,MDEQ80,11515000.0,USD,10000,18/11/2021,1151.5,USD,218.06
01/04/2019 00:32,WTBLJNJS91027583,Stbcks,YFAM55,DDIB11,9732000.0,CRC,60000,12/11/2022,162.2,USD,27.9
01/04/2019 00:32,VOYWWADT39596557,Bottled Faeries,VVBY12,HHOA77,1114840.0,USD,800,04/02/2021,1393.55,USD,258.85
01/04/2019 00:33,CMCFPDRZ88207175,Stocks,KKGY66,LKPN86,67431.08,HNL,400,12/08/2020,58.65,USD,191.11
01/04/2019 00:33,DUCQISIT14714470,Rings of Aggravate Monster,HWJF01,TVQQ14,4176000.0,USD,8000,09/05/2020,522.0,USD,92.41
01/04/2019 00:34,BWNKZMYU14846685,Stbcks,NCYN59,UEVD99,164036.36,BHD,100,20/02/2021,1636.07,CUC,1453.82
01/04/2019 00:34,PRMHFSFD72753246,Stocks,IJPI82,ZBIO85,314000.0,USD,8000,18/03/2021,39.25,USD,6.41
01/04/2019 00:35,BCREVLWL34822183,Krbtonite Ore,ZNQA84,HFLM11,68770000.0,USD,40000,08/01/2022,1719.25,USD,378.35
01/04/2019 00:35,LTKYNZZM09402974,Stocks,DOGG03,SZRJ90,297735.0,USD,300,11/04/2023,992.45,USD,230.99
01/04/2019 00:36,LMVZGBGT40898121,Don Gero Masks,IZLM67,TFLS65,716500.0,USD,500,16/12/2020,1433.0,USD,337.61
01/04/2019 00:37,FXJILSBZ28449386,Stocks,MEOQ86,LIJW11,8565750.0,USD,5000,26/06/2021,1713.15,USD,409.26
01/04/2019 00:37,KHWOFOGP30791597,Stocks,CMOI24,NFAH30,164745.0,USD,900,26/04/2021,183.05,USD,175.69
01/04/2019 00:37,OPCTFQRN30366097,Rube Bars,DGTY64,ZNQA84,67710.0,USD,300,20/03/2022,225.7,USD,247.16
01/04/2019 00:37,WCLTODLM33673463,Go-Pods,MHFC34,QOKP03,12548.0,USD,200,15/11/2020,62.74,USD,57.33
01/04/2019 00:38,VYNCKJVA30845828,Stbcks,TBVE46,UIKN63,582750.0,ISK,700,31/05/2021,832.5,USD,302.54
01/04/2019 00:39,EXNAWOVD30071936,Moranth Cussers,ITTS26,KKGI60,53934.0,USD,300,26/09/2022,179.78,USD,165.84
01/04/2019 00:40,NPGMRKUP10026928,Stocks,EIWJ22,GYWU23,1333433.41,ZWD,8000,05/03/2020,17.11,GTQ,180.6
01/04/2019 00:40,SRWOHCRS42741033,Stbcks,WVHK10,BBJG35,140184.0,USD,900,26/04/2021,155.76,USD,134.29
01/04/2019 00:41,QRSLUGTR15688690,Stbcks,IJPI83,ITTS66,708800.0,USD,8000,29/06/2024,88.6,USD,105.39
01/04/2019 00:42,HASBHMUS53829699,Stocks,FGQR99,EKXA24,704057.96,CLP,3000,23/12/2020,31.54,USD,214.32
01/04/2019 00:42,QUKUXOEG33888207,Febix Felicis,BMRZ75,ISWT83,170744.0,USD,700,28/01/2021,243.92,USD,255.66
01/04/2019 00:42,JOXPLFPN04269583,Rings of Slow Digestion,AMBT66,XHYN17,291540.0,USD,3000,13/10/2021,97.18,USD,109.82
01/04/2019 00:42,QUBJPCMX66021524,HALs,SWGF93,WYFO69,5857883793.48,HRK,60000,14/08/2022,507.46,USD,107362.9
01/04/2019 00:42,UHNZMSOA39996613,Stbcks,OCQF32,TQSJ85,227060000.0,USD,80000,14/03/2023,2838.25,USD,459.23
01/04/2019 00:43,GBHCZCML94634790,Aib Balloons,FGVK43,ITTS26,3491200.0,USD,80000,01/01/2023,43.64,USD,52.41
01/04/2019 00:44,VNBIWDPI75783817,Libht Curtains,HNLV62,YLGZ72,16075599.999999998,USD,8000,24/01/2023,2009.4499999999998,USD,331.83
01/04/2019 00:45,GXJGMBVR35892772,Stocks,HXDA56,AGBH55,39389000.0,KWD,70000,31/01/2020,562.7,USD,472.67
01/04/2019 00:45,TEBVTTYG22727285,Stocks,PVAZ61,MYXF05,4248.0,USD,400,14/08/2020,10.62,USD,9.85
01/04/2019 00:45,HYEDPMQF14884287,Stocks,NXTO39,QLCE24,13270.0,USD,100,21/08/2022,132.7,USD,141.78
01/04/2019 00:46,PNYOYGPX99599334,Stbcks,OHKH76,LIJW00,10278900.0,USD,6000,05/09/2024,1713.15,USD,307.23
01/04/2019 00:47,NLPYEKUC27026733,Rings of Poison Resistance,KKGY64,KTLA59,236790.0,LAK,200,13/05/2022,1183.95,USD,559.63
01/04/2019 00:47,FEBPSZRR42483419,Stocks,NXTO39,HHFP66,9092400.0,USD,8000,13/10/2023,1136.55,USD,244.62
01/04/2019 00:47,FYMEUWWC45760144,Stocks,ITTS27,YLGZ32,258475.0,USD,700,11/11/2021,369.25,USD,79.44
01/04/2019 00:47,ZARALYUH39102818,Unicorn Horns,PJKH65,TGZI64,430680.0,USD,600,06/10/2024,717.8,USD,154.45
01/04/2019 00:48,SZIEJCSW53208463,Touchstones,CUVZ58,ZFHD93,329280.0,USD,700,06/08/2022,470.4,USD,101.28
01/04/2019 00:48,HVJTDLKM39855873,Stbcks,OPET18,GYWU23,2036000.0,USD,50000,12/10/2022,40.72,USD,43.03
01/04/2019 00:49,YEHFFKDK45913585,Stbcks,ZSXF19,SHXQ48,2218200.0,USD,4000,21/08/2023,554.55,USD,103.79
01/04/2019 00:51,JIPJLNCA35507026,Stocks,AWYB83,MFZY76,18446000.0,MUR,20000,07/05/2022,922.3000000000001,USD,12852.77
01/04/2019 00:51,GWXAZKRR27889195,Stocks,GYWU23,CMZC67,1039388.08,ZMK,4000,13/07/2020,45.19,USD,283.78
01/04/2019 00:51,BVUIUQCN74836595,X-Potions,VESX21,CMZC57,54368.0,USD,400,20/08/2021,135.92,USD,147.71
01/04/2019 00:52,TBTYVYKG59004645,Atium Bars,ITTS26,YTAI23,201780.0,USD,600,04/08/2020,966.63,HNL,325.67
01/04/2019 00:52,TBLXBSCZ81964742,Reb Fangs,IBLA29,ZDAI73,16170.0,USD,3000,17/07/2021,5.39,USD,5.2
01/04/2019 00:52,SRQQVXGZ36761083,Frbnzied Coldbloods,ZXVX98,VCSF97,1686722.71,KYD,400,04/10/2023,702.93,USD,4706.03
01/04/2019 00:52,NFPWFJWL97780401,Hare Disks,RJUD57,LIIS96,2888800.0,LSL,8000,22/02/2022,361.1,USD,223.19
01/04/2019 00:52,UKHTDTGQ94138157,Holy Grails,SMYT94,RLZK17,1447320.0,USD,400,14/05/2020,3618.2999999999997,USD,818.46
01/04/2019 00:53,FKOAKWTO44409165,Stocks,UHOG57,MYXF45,10619.999999999998,USD,200,29/07/2020,53.099999999999994,USD,12.33
01/04/2019 00:54,CRRKFLTN20790751,Stbcks,HHFP66,YTAI93,21865000.0,USD,20000,31/07/2021,1093.25,USD,180.24
01/04/2019 00:54,BZHFIZZK77971288,Millennium Puzzles,DDIB55,XHYN77,318900.0,USD,30000,25/10/2021,10.63,USD,11.97
01/04/2019 00:54,DYVBUXBS41718855,Stocks,BPLN25,KEVJ11,867500.0,AFN,10000,21/05/2023,86.75,USD,349.96
01/04/2019 00:54,UIHYRSOV51840465,Stocks,LAUA80,ESPL27,1583400.0,USD,30000,08/01/2022,52.78,USD,45.39
01/04/2019 00:54,RTZMMDTH79476121,Grassy Seeds,SZRJ90,XHYN07,75950.0,USD,5000,30/06/2022,15.19,USD,16.55
01/04/2019 00:54,KGOSWJWL25678776,Horns of Gondor,ZVEN21,JZTC69,123783.0,USD,300,06/12/2023,2658.74,BTN,459.64
01/04/2019 00:55,DPHHWGWC83496355,Stbcks,OPZI26,DREA49,80160.0,USD,2000,02/05/2023,40.08,USD,34.91
01/04/2019 00:56,EGOGZMKS97632996,Stocks,FYYD56,UIKN13,166500.0,ISK,200,14/08/2022,832.5,USD,302.38
01/04/2019 00:56,MTKYJNQI83878240,Stocks,MYXF04,KKZA87,63300.0,USD,2000,04/12/2022,31.65,USD,28.2
01/04/2019 00:56,BHGIFLCZ97718927,Stocks,EWUY52,YLGZ72,5908000.0,USD,80000,12/04/2023,73.85,USD,77.36
01/04/2019 00:56,STEGZVPI80840308,Lavenders,HWJF09,KTLA99,3848.06,JPY,400,09/11/2020,208.68,USD,10.6
01/04/2019 00:58,WTFPHKZL78249944,Stocks,FJOI82,UFAY59,573500.0,AWG,2000,29/04/2021,286.75,USD,299.14
01/04/2019 00:58,VAUYWNAE31778557,Stbcks,ZDAI73,KRRO44,470570.0,USD,100,25/10/2022,4705.7,NZD,522.59
01/04/2019 00:58,PUFGHHTP41683971,Life Orbs,NGBA44,QBVN33,936600.0000000001,USD,7000,23/03/2022,133.8,USD,30.21
01/04/2019 00:59,SLATHIDO46322392,Rupees,PVAZ61,EDYH11,217021500.0,USD,90000,22/01/2020,2411.35,USD,446.74
01/04/2019 00:59,FXACXPXU31556659,Stocks,KRXZ12,ZVEN26,23440.0,USD,200,05/01/2023,117.2,USD,27.01
01/04/2019 01:00,VDUIERSW66799603,Ribgs of Levitation,UFAY57,VGYT30,334410.94,SHP,700,25/01/2023,121.6,USD,494.76
01/04/2019 01:00,SMLBCPEW00822375,Stocks,RJCA93,DOGG27,9446500.0,MKD,70000,10/06/2020,134.95,USD,121.65
01/04/2019 01:00,VGQAKQTE86157252,Stocks,CQPJ57,SFZS08,1470800.0,USD,20000,02/08/2020,73.54,USD,64.02
01/04/2019 01:01,RIBFTAQE94284034,Stocks,SEKK29,HHOA77,1845000.0,MNT,60000,05/08/2020,30.75,USD,0.32
01/04/2019 01:01,ZITDKCRO60264451,Stocks,BBJG06,RNZB21,15990.0,USD,600,21/03/2022,26.65,USD,5.83
01/04/2019 01:02,BQIDOUEA58972766,Venom Canisters,GBEZ65,DOGG07,286410.0,USD,600,11/08/2021,477.35,USD,86.86
01/04/2019 01:02,PUNWJXVJ73732110,Centipedes,OPET11,SUOX82,110760.0,USD,800,16/06/2022,136.95,NOK,128.24
01/04/2019 01:02,AMZAYIDB88739441,Stocks,SBUT65,MSHS63,85000000.0,USD,80000,09/01/2021,1062.5,USD,215.9
01/04/2019 01:05,HKBNAGGA67412909,Fridays,SUOX82,SEKK46,24534.0,USD,300,30/07/2022,81.78,USD,73.71
01/04/2019 01:05,TVABAKWB19779962,Stbcks,FJOI84,SEKK36,89400.0,USD,300,06/09/2024,298.0,USD,71.91
01/04/2019 01:05,SISZIJTE40045453,Agents,TGZI54,GSTD31,871040.0,HKD,800,02/04/2024,1088.8,USD,799.09
01/04/2019 01:07,ELEUYIDX81321576,Stocks,SBUT62,HHOA77,922500.0,USD,30000,05/02/2020,30.75,USD,7.0
01/04/2019 01:08,LFKQPTKA87739605,Tachyons,NCXS55,PNFK78,1922400.0,USD,4000,19/03/2024,480.6,USD,79.98
01/04/2019 01:08,LKKPZRKO49949257,Stocks,CMZC64,LKPN56,195241.16,AMD,400,23/03/2021,58.65,USD,509.29
01/04/2019 01:09,SCBQUWYN82301009,Lasan Nuts,SBUT62,VTKE98,308445.0,USD,300,01/10/2022,1028.15,USD,172.88
01/04/2019 01:10,SOEUGAEV48617826,Stocks,AMBT33,HFLM11,115640.00000000001,USD,200,12/04/2022,578.2,USD,130.08
01/04/2019 01:10,YYYRLJFF03915602,Stbcks,AHMZ79,UWUK72,1058700.0,USD,3000,21/10/2024,352.9,USD,70.67
01/04/2019 01:10,LDPAHUZZ94650811,Stocks,SZRJ97,PVAZ61,193290.00000000003,USD,300,12/01/2024,644.3000000000001,USD,136.86
01/04/2019 01:10,THJQZKQY15505904,Boom Brooms,WHPS18,THJF78,156702.0,USD,600,22/04/2022,261.17,USD,279.01
01/04/2019 01:10,GNHWRUNM15783756,Ambrosia,TVQQ54,FGVK43,4676400.0,USD,60000,10/06/2020,77.94,USD,72.09
01/04/2019 01:10,BWIINBBZ37156506,Doodle Disks,NGBA40,QWOA67,11746996.8,BHD,20000,03/02/2021,113.96,USD,673.24
01/04/2019 01:13,IXXSJPFS84089986,Tabters,NCXS11,MKHA46,1122330.0,USD,3000,24/08/2020,374.11,USD,351.24
01/04/2019 01:13,JORDKMEC37352284,Cell Batteries,EPZN23,OQXV50,117495.0,KPW,700,13/05/2022,167.85,USD,55.32
01/04/2019 01:14,PPEKVKRN32605267,Stocks,SAAM08,WYFO79,1444680.0,USD,9000,24/05/2020,160.52,USD,148.19
01/04/2019 01:14,RCOPTFGV24682272,Surrounders,MKHA46,TKVF94,2729227.55,BOB,700,14/06/2023,83.67,USD,3763.83
01/04/2019 01:14,ZFXCKYGE69421307,Symbiotes,YSSR23,KKGI60,4490621.18,SGD,4000,12/03/2021,191.24,USD,1000.51
01/04/2019 01:15,XMYAPIAK85779361,Stocks,BBAX06,EIWJ22,1127700.0,USD,6000,07/12/2021,187.95000000000002,USD,42.41
01/04/2019 01:15,AQDHLPZT30504251,Thermal Regulation Suppositories,QETH24,ZVEN26,795750.0,MMK,1000,03/05/2022,795.75,JMD,982.29
01/04/2019 01:15,IBFEXXCP05459348,Stocks,LKPN84,XHYN87,989200.0,USD,40000,13/02/2020,24.73,USD,28.62
01/04/2019 01:15,MKBHIWTZ10488587,Stbcks,QWOA69,HHOA66,24600.0,GBP,800,30/11/2024,30.75,USD,61.63
01/04/2019 01:15,YQRPCMVB16456491,Phials of Galadriel,EMNK67,WIZJ73,494144.99999999994,USD,900,24/02/2022,549.05,USD,112.57
01/04/2019 01:15,WYKIOMWK04111101,Stocks,SMYT94,PVAZ41,6333149.999999999,AUD,3000,01/10/2021,2111.0499999999997,HKD,8323.2
01/04/2019 01:16,SOCBBQHH76531193,Stocks,SUOX83,IBLA79,641540.0,USD,400,30/06/2022,1603.85,USD,350.99
01/04/2019 01:18,AMBQRGUT25280467,Devil Fruits,IZTD28,TGZI54,55646.88,GTQ,700,16/11/2022,189.14,USD,91.92
01/04/2019 01:19,USJLBRXF26084637,Habes Helms,PNFK78,ZELV96,676110.0,USD,300,29/08/2022,2253.7,USD,406.99
01/04/2019 01:20,HOPRPEUR61462798,Laban Nuts,MDEQ15,VTKE78,201148000.0,USD,80000,14/02/2022,2514.35,SLL,193.22
01/04/2019 01:21,PXIVQLFX46557999,Stocks,DILF10,SHXQ88,77637.0,USD,700,19/07/2022,742.53,GHS,126.74
01/04/2019 01:22,JCYMIWHI28330926,Fire Horns,BBJG02,ORQH73,929679.9999999999,USD,800,04/09/2023,1162.1,USD,227.11
01/04/2019 01:22,ZPDPNTKT36655658,Stocks,LBKT44,KKZA87,63300.0,USD,400,12/09/2021,158.25,USD,24.57
01/04/2019 01:22,UBMRBKVB63346499,Rings of Protection from Shape Changers,FORM57,QCRG59,683250.0,USD,600,15/03/2020,1138.75,USD,224.88
01/04/2019 01:24,GHHJCQXH91199155,Platinum Bolts,QWOA68,GYWU73,1176750.0,USD,600,01/05/2024,1961.25,USD,327.91
01/04/2019 01:24,ZSFLUYSI68562077,Stbcks,SFZS08,LWGE99,41242138.98,GNF,70000,12/07/2021,5.34,USD,530.4
01/04/2019 01:25,ZUUMWCVH94251417,Chain Wind Staffs,RNZB05,NCYN50,3263190.0,USD,7000,23/07/2023,466.17,USD,532.55
01/04/2019 01:25,VNVCCQPG98821740,Stocks,KEVJ11,JZTC69,109377.89,THB,700,18/05/2024,139.55,USD,168.33
01/04/2019 01:26,ORXQLJDQ30285138,Dragon Scale Mail,IIZF28,CAVR54,1971840.0,USD,6000,06/01/2023,328.64,USD,358.38
01/04/2019 01:26,VMSLBXRA14421772,Stocks,PQSW95,NXTO49,323730.0,CVE,600,14/09/2022,539.55,USD,992.18
01/04/2019 01:27,RKJZDSSN84475181,Thbusand Sunnys,ERHJ35,WVHK40,1036980.0,USD,6000,24/06/2023,496.42,WST,162.01
01/04/2019 01:27,VOLPSBUO84372119,Stocks,VIMV32,QXFF39,2883000.0,USD,60000,07/12/2024,48.05,USD,9.05
01/04/2019 01:28,FFPDMMBH75554533,Rings of Free Action,VVXA66,QOKP53,52928.0,USD,800,31/01/2020,3070.26,INR,76.69
01/04/2019 01:28,DSYNXCZL31758135,Pan-Galactic Gargle Blaster,TFLS35,AYIH50,588965.0,USD,500,28/06/2024,1177.93,USD,1056.71
01/04/2019 01:28,MMZRPSGW81669274,Diverseys,RLZK87,TQSJ85,439110.0,USD,900,02/01/2024,487.9,USD,87.7
01/04/2019 01:29,YRUMDRYE72142641,Tebth of the Dragon,GYWU23,HWJF09,312430.0,USD,200,09/10/2020,1562.15,USD,277.25
01/04/2019 01:29,JMXRZQYT70608710,Blbe Flutes,FGQR44,TYAE14,6148800.0,USD,90000,19/03/2020,68.32,USD,62.32
01/04/2019 01:30,QZBKAFAX67424241,Dragon Scales,CIXF70,KTLA49,10045000.0,USD,50000,23/04/2023,200.9,USD,185.62
01/04/2019 01:30,PASHBTFP32555177,Gubdams,HPTP65,SBUT62,10951200.000000002,USD,9000,10/12/2024,1216.8000000000002,USD,258.01
